Categorías;Barrios;2018;2019;2020;2021;2022
Proporción de extranjeros;09. Moncloa-Aravaca;9,94;10,5;11,27;11,59;11,32
Proporción de extranjeros;10. Latina;14,48;15,61;17,07;17,73;17,48
Proporción de extranjeros;11. Carabanchel;17,8;19,34;21,12;21,77;21,5
Proporción de extranjeros;12. Usera;20,58;22,03;23,87;24,58;23,93
Proporción de extranjeros;13. Puente de Vallecas;16,23;17,89;19,75;20,52;20,22
Proporción de extranjeros;14. Moratalaz;8,42;9,35;10,54;10,69;10,69
Proporción de extranjeros;15. Ciudad Lineal;13,19;14,18;15,36;15,71;15,6
Proporción de extranjeros;16. Hortaleza;9,31;10,14;10,96;11,19;11,31
Proporción de extranjeros;17. Villaverde;18,03;19,45;21,22;21,82;21,59
Proporción de extranjeros;18. Villa de Vallecas;11,26;12,26;13,47;14,05;14,26
Proporción de extranjeros;19. Vicálvaro;11,45;12,12;12,96;13,33;13,32
Proporción de extranjeros;20. San Blas-Canillejas;11,09;12,29;13,75;14,29;14,3
Proporción de extranjeros;21. Barajas;8,86;9,41;10,1;10,26;10,04
